"","screen_name","text","After"
"20","realismistic","@alanvibe There are now so many countries and states in America that are thriving who did not lockdown, likewise with countries who locked hard early. Our plan is a total shambles and we should all now be released!!!","@alanvibe There are now so many countries and states in America that are thriving who did not lockdown, likewise with countries who locked hard early. Our plan is a total shambles and we should all now be released!!!"
"21","jonlis1","Ever since I last visited America I’ve been craving a bran muffin. All through lockdown I’ve looked for them everywhere and haven’t found one. Tonight, I cracked. https://t.co/8jWZxCd7f5","Ever since I last visited America I’ve been craving a bran muffin. All through lockdown I’ve looked for them everywhere and haven’t found one. Tonight, I cracked. "
"22","monkey1959neil","@ClaireWynarczyk Lockdown must end and that be it , it is only English nationals that have to quarantine from South America a lot of Africa countries and Portugal","@ClaireWynarczyk Lockdown must end and that be it , it is only English nationals that have to quarantine from South America a lot of Africa countries and Portugal"
"23","SuperbloomAl","I don’t think it’s okay that lockdown rules have been broken? But I don’t know what the rules are for America, so <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>","I don’t think it’s okay that lockdown rules have been broken? But I don’t know what the rules are for America, so <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>"
"24","domtasile","@JudeVickers @squierbassvi @YaraAlkhamis @kemz_1 So what about country like Sweden that hardly went on lockdown and are still doing better than uk and America?","@JudeVickers @squierbassvi @YaraAlkhamis @kemz_1 So what about country like Sweden that hardly went on lockdown and are still doing better than uk and America?"
"25","Melinda01212917","@POTUS The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist","@POTUS The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist"
"26","Melinda01212917","The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist https://t.co/ULMJqv6HR0","The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist "
"27","Melinda01212917","@BretWeinstein The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist","@BretWeinstein The president is being so incredibly divisive and harmful to tar and feather America like this. And you want to fix structural racism? OPEN THE DAMNED SCHOOLS AND END LOCKDOWN! Biden is PRO-RACISM by failing to demand an end to lockdowns. #nolockdowns #openschools #antiracist"
"28","GretaMiddendor1","Disturbed - Sound of Silence - World in Lockdown due to Covid 19 - Adapted https://t.co/QcZoX4piQz via @YouTube China shut America down and we will pay you big time. We will make America our colony and give you and your Congress lots of money. My opinion for now.-Greta","Disturbed - Sound of Silence - World in Lockdown due to Covid 19 - Adapted  via @YouTube China shut America down and we will pay you big time. We will make America our colony and give you and your Congress lots of money. My opinion for now.-Greta"
"29","vvenduu","@kxr1k @ignFerdiSZN Would u have half ur family dead or be in lockdown bruh America hasn’t been in lockdown in entirety in a long time and look at the cases","@kxr1k @ignFerdiSZN Would u have half ur family dead or be in lockdown bruh America hasn’t been in lockdown in entirety in a long time and look at the cases"
"30","sibalankita","THE. SHEER. AUDACITY.

Any child who has attended a school in America knows the fear of thinking “What if this lockdown is real?” “What if this is it...” and she has the audacity to ask “Why are you using kids to take away my second amendment right?” GTFO https://t.co/iyNgt0vSeI","THE. SHEER. AUDACITY.

Any child who has attended a school in America knows the fear of thinking “What if this lockdown is real?” “What if this is it...” and she has the audacity to ask “Why are you using kids to take away my second amendment right?” GTFO "
"31","Les90312878","@JimDOfficial Fair play Jim, It's not the governments fault no one knows how to really treat it, no matter who was in power here in the UK, America or timbuktu unless the general public isolate it will carry on and on and on. If anything it's the people who break the lockdown that are at fault","@JimDOfficial Fair play Jim, It's not the governments fault no one knows how to really treat it, no matter who was in power here in the UK, America or timbuktu unless the general public isolate it will carry on and on and on. If anything it's the people who break the lockdown that are at fault"
"32","GBx2TrueLove","@NRafter @twhfsu @DrTomFrieden All you keep saying is that a national lockdown isn’t possible. Why? You give NOTHING to back that up. There is no need nor talk to “overthrow”. It’s the federal gov working with the state &amp; local governments. It’s time America does the right thing. Instead of being ran by $$$","@NRafter @twhfsu @DrTomFrieden All you keep saying is that a national lockdown isn’t possible. Why? You give NOTHING to back that up. There is no need nor talk to “overthrow”. It’s the federal gov working with the state &amp; local governments. It’s time America does the right thing. Instead of being ran by $$$"
"33","jffrsj","LEOs are the teeth of the government. These low intelligence police are the ones enforcing these completely unconstitutional lockdown orders that have driven half of America’s small businesses into closure. #BackTheBlue my ass. I’ll back the blue when they learn the constitution.","LEOs are the teeth of the government. These low intelligence police are the ones enforcing these completely unconstitutional lockdown orders that have driven half of America’s small businesses into closure. #BackTheBlue my ass. I’ll back the blue when they learn the constitution."
"34","HataCurry","Her heart bleeds for labourers while she  sits in America and helps spread hate by RTing tweets of bigots and people who were literally responsible for the deaths of migrant labourers during the lockdown. https://t.co/zvNIlDkW4L","Her heart bleeds for labourers while she  sits in America and helps spread hate by RTing tweets of bigots and people who were literally responsible for the deaths of migrant labourers during the lockdown. "
"35","RealAnnieBlack","""Blue state America is in a self-inflicted crisis. Why should taxpayers in the states that are open &amp; booming bail out the locked-down basket case states? The only stimulus this economy needs is lockdown governors to get out of the way."" - Stephen Moore

cc: @GovSisolak https://t.co/j7Elw0MMWC","""Blue state America is in a self-inflicted crisis. Why should taxpayers in the states that are open &amp; booming bail out the locked-down basket case states? The only stimulus this economy needs is lockdown governors to get out of the way."" - Stephen Moore

cc: @GovSisolak "
"36","ruwam","This is what’s finishing me the most. America gave up on lockdown TIMMEEEEE ago man, how have the govt cocked it up so much https://t.co/zAOJRUMvkU","This is what’s finishing me the most. America gave up on lockdown TIMMEEEEE ago man, how have the govt cocked it up so much "
"37","tempest_mag","https://t.co/OwcTfhwlj3 Hakan Yilmaz and @andsern write on the growth of the far right coming out of the anti-lockdown protests and BLM reaction, and offer perspectives for the left. https://t.co/xd44V4VpZF"," Hakan Yilmaz and @andsern write on the growth of the far right coming out of the anti-lockdown protests and BLM reaction, and offer perspectives for the left. "
"38","joshtpa","@DWUhlfelderLaw How'd that work out for California and all the other lockdown States across America?  Not too good.  Governor Desantis has saved Florida from arbitrary lockdown measures that don't work and destroy lives, businesses, and mental health.","@DWUhlfelderLaw How'd that work out for California and all the other lockdown States across America?  Not too good.  Governor Desantis has saved Florida from arbitrary lockdown measures that don't work and destroy lives, businesses, and mental health."
"39","JamesAn44705988","Joe Biden is a pimple on the ass of America. He is a fraud. The election was a fraud. The lockdown is a fraud. Democrats are frauds.","Joe Biden is a pimple on the ass of America. He is a fraud. The election was a fraud. The lockdown is a fraud. Democrats are frauds."
"40","anthonysramblin","@LibertarianBlue @realjuliasong The America People needed to be bailed out after being forced to lockdown. But yes bail out a hedge fund.","@LibertarianBlue @realjuliasong The America People needed to be bailed out after being forced to lockdown. But yes bail out a hedge fund."
"41","Nixalpad19","@creamaccidents You don't understand because you're Australian, but the lockdown impedes upon our first amendment due to it prohibiting our right to be stupid. It also requires us to care about others, and America has never done that before and is afraid to start now.","@creamaccidents You don't understand because you're Australian, but the lockdown impedes upon our first amendment due to it prohibiting our right to be stupid. It also requires us to care about others, and America has never done that before and is afraid to start now."
"42","alumbwage","@zittokabwe How many people have died in Tanzania? When there was no lock down. And how many people have died in America and other countries where they had lockdown. Compare the number of people who died this in 2020 and number of people who died in 2019. If there is significant difference","@zittokabwe How many people have died in Tanzania? When there was no lock down. And how many people have died in America and other countries where they had lockdown. Compare the number of people who died this in 2020 and number of people who died in 2019. If there is significant difference"
"43","VillaMad3","@KevinAdams It is I agree, but what would have been the reaction to him taking a heavier hand over protests like Black Lives matter and the Lockdown protests? 

I guess England would have burned just like America.

You've seen yourself what abuse the police get when they just issue a fine.","@KevinAdams It is I agree, but what would have been the reaction to him taking a heavier hand over protests like Black Lives matter and the Lockdown protests? 

I guess England would have burned just like America.

You've seen yourself what abuse the police get when they just issue a fine."
"44","RDJ7182","@LittleBoyNugget @CinderMercury Ah we got a lonely Australian with still no one helping the wish list talk to a group of Canadians about America. Maybe your lockdown did affect ya brain. Cause it’s showing <U+0001F48B>","@LittleBoyNugget @CinderMercury Ah we got a lonely Australian with still no one helping the wish list talk to a group of Canadians about America. Maybe your lockdown did affect ya brain. Cause it’s showing <U+0001F48B>"
"45","Lockdown_In_PHX","@RandPaul &amp; the @GOP are nothing but cowards who's only concern is re-election. Nothing else period. They do not care about the Constitution or America. You may win a primary by continuing this path but a general election is different, the last election should have told you this.","@RandPaul &amp; the @GOP are nothing but cowards who's only concern is re-election. Nothing else period. They do not care about the Constitution or America. You may win a primary by continuing this path but a general election is different, the last election should have told you this."
"46","urlocalbookwhor","@overagain_an america is great<U+0001F644><U+0001F644> one time a girl brought a weapon to my brothers school to <U+0001F91C>hurt<U+0001F91B> her ex bf and they went into lockdown and my brother called my mom and she didnt believe him<U+0001F603>","@overagain_an america is great<U+0001F644><U+0001F644> one time a girl brought a weapon to my brothers school to <U+0001F91C>hurt<U+0001F91B> her ex bf and they went into lockdown and my brother called my mom and she didnt believe him<U+0001F603>"
"47","LeDerpyllama","@timcarsonmusic @Fatninjaspeaks @nypost Why is nobody buying their shit then? <U+0001F602><U+0001F602>

You forget that Asian countries are waaaaaayy more disciplined than North America... they wear masks, they had lockdown... your comparison is weak.","@timcarsonmusic @Fatninjaspeaks @nypost Why is nobody buying their shit then? <U+0001F602><U+0001F602>

You forget that Asian countries are waaaaaayy more disciplined than North America... they wear masks, they had lockdown... your comparison is weak."
"48","DommeTomorrow","I’m sitting here, mentally preparing myself for another excruciating 365 days of isolating lockdown, bc America has trained me for nonstop brutal disappointments since becoming an adult in 2004.","I’m sitting here, mentally preparing myself for another excruciating 365 days of isolating lockdown, bc America has trained me for nonstop brutal disappointments since becoming an adult in 2004."
"49","Kiarah_","@xCrysMarie_ Period !! We have countries that got rid of covid by just stay their ass home lockdown, but NO America always want to make money out of anything they can","@xCrysMarie_ Period !! We have countries that got rid of covid by just stay their ass home lockdown, but NO America always want to make money out of anything they can"
"50","Odimab","What if, rather than trying to eject 'bad' feelings from our body, we invite them gently in?https://t.co/79vxckxW96
#mentalhealth #stress #selfcare #depression #wellbeing #anxiety #lockdown #bodymind @Therapists_C  @CounsellorsCafe @meditationszn @Mad_In_America @MomsMindfulHub","What if, rather than trying to eject 'bad' feelings from our body, we invite them gently in?
#mentalhealth #stress #selfcare #depression #wellbeing #anxiety #lockdown #bodymind @Therapists_C  @CounsellorsCafe @meditationszn @Mad_In_America @MomsMindfulHub"
"51","tomorrowmanx","@kassr6 @BenjaminERogers @whoisdionta @NKinNewEng @nytimes Maybe you should ask the many leaders who ~refuse~ to properly and evenly enforce lockdown measures, or even settle on unified messaging before you ask me, as if I have my hand on any of the levers. If critical thinking spread like COVID in America we wouldn’t be here. https://t.co/HQX3CD9l8x","@kassr6 @BenjaminERogers @whoisdionta @NKinNewEng @nytimes Maybe you should ask the many leaders who ~refuse~ to properly and evenly enforce lockdown measures, or even settle on unified messaging before you ask me, as if I have my hand on any of the levers. If critical thinking spread like COVID in America we wouldn’t be here. "
"52","LukesReceipts","@FrozenSicleGirl @LazyCatHappyCat @ajplus We went into a full scale lockdown in March last year and have had 1 death since the initial outbreak's tole. America are, what, sacrificing 4000 people a day? More than 9/11's total death toll that Bush started a war over?","@FrozenSicleGirl @LazyCatHappyCat @ajplus We went into a full scale lockdown in March last year and have had 1 death since the initial outbreak's tole. America are, what, sacrificing 4000 people a day? More than 9/11's total death toll that Bush started a war over?"
"53","LukesReceipts","@FrozenSicleGirl @LazyCatHappyCat @ajplus America's congress and president either lied to themselves or didn't have the ass cheeks to commit to national lockdown. China (population over 1,000,000,000) sorted its shit out right quick, how fucking embarrassing for the US that they couldn't.","@FrozenSicleGirl @LazyCatHappyCat @ajplus America's congress and president either lied to themselves or didn't have the ass cheeks to commit to national lockdown. China (population over 1,000,000,000) sorted its shit out right quick, how fucking embarrassing for the US that they couldn't."
"54","okonkwo_gibson","@ShehuSani Is Bill Gate a doctor ? How does he know when the next level of pandemic will come? What is this politics of trying to control the world ? Control the world politics, control the world commerce and economy by few people? In the last lockdown we have 56 new billionaires in America","@ShehuSani Is Bill Gate a doctor ? How does he know when the next level of pandemic will come? What is this politics of trying to control the world ? Control the world politics, control the world commerce and economy by few people? In the last lockdown we have 56 new billionaires in America"
"55","BewareNecessity","@NickJFuentes How bad is the Lockdown in America? I was under the impression most areas had kinda opened up","@NickJFuentes How bad is the Lockdown in America? I was under the impression most areas had kinda opened up"
"56","ArtPedd","@NationCounty @NationAfrica Please continue with similar low tech equipment

#Technocracy is deadly

Just look at the death trap #Technocracy has turned Europe and America and India into by #lockdown #separation #isolation #familysplitting #muzzling coup d'etat","@NationCounty @NationAfrica Please continue with similar low tech equipment

#Technocracy is deadly

Just look at the death trap #Technocracy has turned Europe and America and India into by #lockdown #separation #isolation #familysplitting #muzzling coup d'etat"
"57","Cutterlen","It only works when people actuallly do it. Masks or lack thereof is the biggest mistake. Close contact is another yet vast areas of America are still not behaving correctly. Lockdown wasn’t necessary in Japan because their government had a concise message. https://t.co/mUA5fntWHn","It only works when people actuallly do it. Masks or lack thereof is the biggest mistake. Close contact is another yet vast areas of America are still not behaving correctly. Lockdown wasn’t necessary in Japan because their government had a concise message. "
"58","wallstcass","@Strider_3029 @charliepick @juliamacfarlane Of course, if you do hard lockdown then cases will decline, cases will also start to decline well ahead of summer globally regardless or was the seasonality of cases in South America just coincidence?","@Strider_3029 @charliepick @juliamacfarlane Of course, if you do hard lockdown then cases will decline, cases will also start to decline well ahead of summer globally regardless or was the seasonality of cases in South America just coincidence?"
"59","StellaStays","Alongside our homes in the Middle East, we are rapidly expanding our portfolio in North America!<U+0001F1E8><U+0001F1E6> Whether you’re #travelling domestically or need a change of scenery, our homes in Old Montréal are the perfect place to set up your new work-from-hub during #lockdown<U+0001F60D> https://t.co/CxpSMqwhpb","Alongside our homes in the Middle East, we are rapidly expanding our portfolio in North America!<U+0001F1E8><U+0001F1E6> Whether you’re #travelling domestically or need a change of scenery, our homes in Old Montréal are the perfect place to set up your new work-from-hub during #lockdown<U+0001F60D> "
"60","JelloFries","@Pinochet420 @AyoCaesar America has not been on lockdown at any point. You are straight up lying.","@Pinochet420 @AyoCaesar America has not been on lockdown at any point. You are straight up lying."
"61","Heaven_America","The lockdown mood booster that’s heaven scent https://t.co/XDz8yt3ojT","The lockdown mood booster that’s heaven scent "
"62","FloridaIce44","@WoodysGamertag @Trainwreckstv @AustinOnTwitter @xQc @KEEMSTAR @REALMizkif @JoeBiden Whenever people anti lockdown protest in Europe, Black lives matter protest in America, Maga raid the capital and other public gatherings. I think of COVID19 doing this: https://t.co/s40dhKxq6R","@WoodysGamertag @Trainwreckstv @AustinOnTwitter @xQc @KEEMSTAR @REALMizkif @JoeBiden Whenever people anti lockdown protest in Europe, Black lives matter protest in America, Maga raid the capital and other public gatherings. I think of COVID19 doing this: "
"63","FloridaIce44","@amazingatheist @thunderf00t @hasanthehun @h3h3productions @DonaldJTrumpJr @AOC Whenever humans anti lockdown protest in Europe, Black lives matter protest in America, Maga raid at the capital and other public gatherings. I think of COVID19 doing this: https://t.co/s40dhKxq6R","@amazingatheist @thunderf00t @hasanthehun @h3h3productions @DonaldJTrumpJr @AOC Whenever humans anti lockdown protest in Europe, Black lives matter protest in America, Maga raid at the capital and other public gatherings. I think of COVID19 doing this: "
"64","joecanavan90","@brianmoore666 Brilliant. Got another viewing over lockdown. Makes the Trump rise to power in America even more frightening!","@brianmoore666 Brilliant. Got another viewing over lockdown. Makes the Trump rise to power in America even more frightening!"
"65","elldotweets","@littlelostsunny The Servant is definitely unsettling, not my favourite show but surprisingly good for ATV+. Long Way Up is a documentary following Ewan McGregor and Charlie Boorman riding electric bikes up across southern America. It was a nice escape during Covid lockdown.","@littlelostsunny The Servant is definitely unsettling, not my favourite show but surprisingly good for ATV+. Long Way Up is a documentary following Ewan McGregor and Charlie Boorman riding electric bikes up across southern America. It was a nice escape during Covid lockdown."
"66","KM414J","Yikes you're from America right? If so half the country is open so gyms and shit are already
So ok though — no mate i’m not from america, the uk is on full lockdown dkm  https://t.co/1szLDjiMjq","Yikes you're from America right? If so half the country is open so gyms and shit are already
So ok though — no mate i’m not from america, the uk is on full lockdown dkm  "
"67","TimmonsMariah","America is calling me to travel over there<U+0001F440> Lockdown is having me go insane","America is calling me to travel over there<U+0001F440> Lockdown is having me go insane"
"68","ticticktock","Just as the Democrat governors are mysteriously opening up their states in America.... <U+0001F914>
Nothing to do with the Biden 'Installation' though... <U+0001F928>
Nope. Of course not. <U+0001F92C>
https://t.co/kYL82AMldy","Just as the Democrat governors are mysteriously opening up their states in America.... <U+0001F914>
Nothing to do with the Biden 'Installation' though... <U+0001F928>
Nope. Of course not. <U+0001F92C>
"
"69","bitjimbog","@jackienewtown @acenic69 @Daninamuddle @toadmeister Look at Asia, Africa, and Oceania as a whole. Then, look at Europe, North and South America. This suggests some type of prior immunity, for example. Policy can’t explain this. Australia went through the same tip-toe to lockdown as Europe did.","@jackienewtown @acenic69 @Daninamuddle @toadmeister Look at Asia, Africa, and Oceania as a whole. Then, look at Europe, North and South America. This suggests some type of prior immunity, for example. Policy can’t explain this. Australia went through the same tip-toe to lockdown as Europe did."
"70","shaibu_AB","Even tho restrictions were imposed if the citizens don’t follow them it’s all for nothing??

Take a country that didn’t go into a lockdown but still had fewer cases, can’t it be that the citizens were law abiding by following restriction guidelines?? America had a BLM protest..","Even tho restrictions were imposed if the citizens don’t follow them it’s all for nothing??

Take a country that didn’t go into a lockdown but still had fewer cases, can’t it be that the citizens were law abiding by following restriction guidelines?? America had a BLM protest.."
"71","johndeff_1966","@brandonromanek @aubrey_huff You might be onto something .. i also believe Trump is responsible for a lot of Covid deaths in America.....I agree with you.I suppose Clinton wouldnt have disbanded the pandemic task force ...that might have helped, and maybe she might have mandated wearing masks and lockdown.","@brandonromanek @aubrey_huff You might be onto something .. i also believe Trump is responsible for a lot of Covid deaths in America.....I agree with you.I suppose Clinton wouldnt have disbanded the pandemic task force ...that might have helped, and maybe she might have mandated wearing masks and lockdown."
"72","BonnieDewolfe","@roxannelwright @TorontoStar @JustinTrudeau IDK about anyone at a mall. We have been in lockdown since Dec. 26th again. I go from work to home, worn a mask for 10 mths, have not seen relatives in over 1 yr.
Yet ppl have relatives flying in from UK for Xmas? That is how variant arrived in North America <U+0001F644>","@roxannelwright @TorontoStar @JustinTrudeau IDK about anyone at a mall. We have been in lockdown since Dec. 26th again. I go from work to home, worn a mask for 10 mths, have not seen relatives in over 1 yr.
Yet ppl have relatives flying in from UK for Xmas? That is how variant arrived in North America <U+0001F644>"
"73","yankinthenl","Sending this to friends in America who call me crazy for wanting to move  back there. Turns out being an asshole is universal. https://t.co/bD08UHtUzW","Sending this to friends in America who call me crazy for wanting to move  back there. Turns out being an asshole is universal. "
"74","006_Ellie","@CMOIreland @MichealMartinTD @LeoVaradkar  If this lockdown finishes in March Just So you can all go to America for St.Patrick's Day I honestly think I'll loose my reason. Actually not just me the whole of Ireland will see it &amp; no longer take part in any lockdown! People talk! https://t.co/Z9Bany8boh","@CMOIreland @MichealMartinTD @LeoVaradkar  If this lockdown finishes in March Just So you can all go to America for St.Patrick's Day I honestly think I'll loose my reason. Actually not just me the whole of Ireland will see it &amp; no longer take part in any lockdown! People talk! "
