"","word","sentiment","n"
"626","squash","negative",1
"627","stain","negative",1
"628","starvation","negative",1
"629","stole","negative",1
"630","strictly","negative",1
"631","strike","negative",1
"632","stringent","negative",1
"633","stronger","positive",1
"634","struggle","negative",1
"635","struggled","negative",1
"636","struggles","negative",1
"637","stupidity","negative",1
"638","success","positive",1
"639","suck","negative",1
"640","suffered","negative",1
"641","suicide","negative",1
"642","supporting","positive",1
"643","supports","positive",1
"644","survivor","positive",1
"645","suspect","negative",1
"646","symptom","negative",1
"647","symptoms","negative",1
"648","tanks","negative",1
"649","terrible","negative",1
"650","terribly","negative",1
"651","terror","negative",1
"652","terrorism","negative",1
"653","thrilled","positive",1
"654","thriving","positive",1
"655","toughest","positive",1
"656","toxic","negative",1
"657","tragically","negative",1
"658","transparent","positive",1
"659","trap","negative",1
"660","trivial","negative",1
"661","trouble","negative",1
"662","trusted","positive",1
"663","turmoil","negative",1
"664","tyrannical","negative",1
"665","ugh","negative",1
"666","unable","negative",1
"667","uncivil","negative",1
"668","unemployed","negative",1
"669","unfit","negative",1
"670","unhappy","negative",1
"671","unsafe","negative",1
"672","unsettling","negative",1
"673","unwilling","negative",1
"674","uphold","positive",1
"675","uplifting","positive",1
"676","usable","positive",1
"677","useless","negative",1
"678","utterly","negative",1
"679","vigilant","positive",1
"680","vile","negative",1
"681","vulgar","negative",1
"682","wack","negative",1
"683","waning","negative",1
"684","warned","negative",1
"685","warp","negative",1
"686","wary","negative",1
"687","wealthy","positive",1
"688","wellbeing","positive",1
"689","wicked","negative",1
"690","wild","negative",1
"691","willingly","positive",1
"692","winner","positive",1
"693","woo","positive",1
"694","worried","negative",1
"695","worries","negative",1
"696","worry","negative",1
"697","wow","positive",1
"698","wrongly","negative",1
"699","yay","positive",1
